image,id,label,annotator,annotation_id
/data/upload/2732.jpg,1754,"[{""x"": 53.333333333333336, ""y"": 27.708703374777976, ""width"": 5.733333333333333, ""height"": 4.440497335701599, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 960}, {""x"": 56.13333333333333, ""y"": 32.326820603907635, ""width"": 7.333333333333333, ""height"": 18.82770870337478, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 960}, {""x"": 76.40000000000002, ""y"": 30.373001776198933, ""width"": 5.733333333333333, ""height"": 3.374777975133215, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 960}, {""x"": 38.4, ""y"": 41.740674955595026, ""width"": 2.1333333333333333, ""height"": 3.019538188277087, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 960}]",vilka044@gmail.com,1769
/data/upload/1896.jpg,1607,"[{""x"": 66.4, ""y"": 35.294117647058826, ""width"": 4.533333333333333, ""height"": 3.7433155080213902, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 957}, {""x"": 87.06666666666666, ""y"": 23.707664884135472, ""width"": 2.6666666666666665, ""height"": 1.2477718360071302, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 957}, {""x"": 81.33333333333333, ""y"": 35.294117647058826, ""width"": 3.066666666666667, ""height"": 6.0606060606060606, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 957}]",vilka044@gmail.com,1623
/data/upload/1749.jpg,1558,"[{""x"": 38.93333333333332, ""y"": 22.380106571936057, ""width"": 7.466666666666667, ""height"": 19.715808170515096, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1156, ""original_height"": 868}, {""x"": 35.86666666666667, ""y"": 20.959147424511546, ""width"": 6.4, ""height"": 6.039076376554174, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1156, ""original_height"": 868}, {""x"": 21.6, ""y"": 46.714031971580816, ""width"": 2.1333333333333333, ""height"": 2.1314387211367674, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1156, ""original_height"": 868}]",vilka044@gmail.com,1575
/data/upload/1746.jpg,1555,"[{""x"": 74.40000000000002, ""y"": 22.380106571936057, ""width"": 10.533333333333333, ""height"": 5.150976909413854, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1156, ""original_height"": 868}, {""x"": 83.86666666666665, ""y"": 24.511545293072825, ""width"": 6.266666666666667, ""height"": 13.143872113676732, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1156, ""original_height"": 868}, {""x"": 40.666666666666664, ""y"": 39.786856127886324, ""width"": 6.933333333333334, ""height"": 4.085257548845471, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1156, ""original_height"": 868}, {""x"": 34.4, ""y"": 50.62166962699823, ""width"": 9.73333333333333, ""height"": 0.7104795737122558, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1156, ""original_height"": 868}]",vilka044@gmail.com,1572
/data/upload/3001.jpg,1842,"[{""x"": 43.572395128552095, ""y"": 48.328267477203646, ""width"": 13.261163734776725, ""height"": 4.25531914893617, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 958, ""original_height"": 1280}]",vilka044@gmail.com,1857
/data/upload/2985.jpg,1841,"[{""x"": 38.15967523680649, ""y"": 35.055724417426546, ""width"": 19.350473612990527, ""height"": 7.497467071935157, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 958, ""original_height"": 1280}]",vilka044@gmail.com,1856
/data/upload/2970.jpg,1840,"[{""x"": 8.930987821380244, ""y"": 43.20486815415821, ""width"": 9.607577807848443, ""height"": 9.837728194726166, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 959, ""original_height"": 1280}, {""x"": 5.412719891745602, ""y"": 36.105476673427994, ""width"": 1.3531799729364005, ""height"": 2.839756592292089, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 959, ""original_height"": 1280}, {""x"": 4.465493910690122, ""y"": 41.27789046653144, ""width"": 1.2178619756427604, ""height"": 2.4340770791075053, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 959, ""original_height"": 1280}]",vilka044@gmail.com,1855
/data/upload/2967.jpg,1839,"[{""x"": 54.66847090663058, ""y"": 52.129817444219064, ""width"": 4.7361299052774015, ""height"": 5.983772819472617, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 959, ""original_height"": 1280}, {""x"": 67.79431664411366, ""y"": 45.63894523326572, ""width"": 11.772665764546685, ""height"": 13.08316430020284, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 959, ""original_height"": 1280}]",vilka044@gmail.com,1854
/data/upload/2963.jpg,1838,"[{""x"": 14.533333333333333, ""y"": 54.93333333333333, ""width"": 14.533333333333333, ""height"": 17.866666666666667, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 640}, {""x"": 16.4, ""y"": 38.93333333333333, ""width"": 1.0666666666666667, ""height"": 4.8, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 640}, {""x"": 29.466666666666665, ""y"": 32.53333333333333, ""width"": 1.2, ""height"": 11.2, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 640}, {""x"": 5.2, ""y"": 58.93333333333333, ""width"": 2.2666666666666666, ""height"": 7.466666666666667, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 640}, {""x"": 3.8666666666666667, ""y"": 46.666666666666664, ""width"": 2.1333333333333333, ""height"": 7.733333333333333, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 640}]",vilka044@gmail.com,1853
/data/upload/2960.jpg,1837,"[{""x"": 41.333333333333336, ""y"": 30.4, ""width"": 10.8, ""height"": 12, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1280, ""original_height"": 640}]",vilka044@gmail.com,1852
